Designation,Experience,Salary,No. of Publications,No. of Chapters,Amount of consultancy work,Fund Received,Professional Membership
3,31,530875,103,175,628039,8497585,7
2,22,695101,66,209,1866865,8823529,13
2,24,700704,48,204,1820472,3325752,8
3,31,387603,10,423,1381918,10227137,12
2,21,709453,94,913,787846,6812862,11
3,38,365408,126,1076,740050,12472474,14
2,7,235697,21,7,463267,1431052,6
3,39,857116,117,325,2105038,8828638,14
1,1,37654,4,48,67116,178500,10
2,24,250572,36,828,1540440,9373080,8
3,25,423416,33,350,1381950,432600,6
3,38,302353,76,810,2175094,5310804,14
2,23,272734,103,586,623564,2980156,3
3,27,594504,81,747,1224072,1585035,2
1,2,100092,20,40,108474,1049380,14
3,26,421512,78,251,1563518,1974388,12
2,17,532380,25,25,515185,5856542,10
3,36,447768,36,900,1916184,815976,15
3,29,288472,87,841,750404,7835635,10
2,9,193837,22,108,896620,1183446,3
3,26,567545,43,294,1090024,4367306,9
2,17,452344,34,204,716210,7368276,1
1,1,63221,3,22,103093,735276,4
1,6,123708,24,588,844056,3900024,4
2,20,522310,50,90,1730290,9531730,12
1,2,97144,12,188,205298,180090,5
1,6,449820,18,378,819738,2175240,15
2,20,648770,70,360,1223180,5760710,12
3,25,530025,41,433,1389791,7278300,9
1,2,130098,12,108,276804,485374,2
2,14,171094,63,266,822381,6833645,2
2,17,427643,17,850,505758,3631548,7
2,7,215558,10,115,542654,3392861,5
3,30,450200,90,610,1233530,1248570,6
2,12,215418,24,186,377676,1914252,7
2,14,437416,63,651,771309,1819321,5
2,15,386595,60,442,376545,5780640,5
1,5,297650,5,305,502770,1438600,15
3,39,502762,26,221,2499406,4383405,15
2,22,591910,66,286,589226,5089227,15
2,17,465893,59,93,1016379,4911954,8
3,33,318813,110,550,1524160,5690179,5
3,28,680549,9,74,953633,7497205,11
2,16,375320,8,16,1319024,4061480,9
3,28,590230,74,74,1550901,4173988,9
3,35,295540,35,770,1312896,9147775,4
2,11,340367,27,418,921123,3752375,15
2,20,721320,50,560,1871410,8892750,3
1,1,28570,8,93,189102,146769,7
1,1,68194,7,78,171098,947573,10
2,9,222156,9,315,615811,362088,4
2,10,251090,25,495,428110,3522560,2
1,5,117985,35,415,861400,1668810,12
2,16,471528,40,520,1474512,2530544,6
3,30,732870,10,750,559540,6857390,6
3,32,562026,96,992,951722,3473365,6
2,10,167370,25,400,670460,2325370,1
2,22,534666,55,341,1789491,2228006,15
3,35,404168,116,221,1283345,11525488,8
3,37,397836,61,49,2036381,1137478,10
2,9,205015,9,432,460728,2557894,8
2,17,459748,68,144,1043247,4327061,4
3,31,374190,31,41,1976146,2862808,9
2,24,467616,96,792,1485444,5618916,13
1,3,144852,12,39,439314,2726793,4
3,27,418500,9,612,815310,6691842,11
2,14,267309,63,14,456365,6032817,13
2,16,526704,16,656,1281760,2528224,3
3,31,354753,62,578,1247161,6757834,4
3,37,439942,98,1085,618948,11583220,3
2,21,488229,21,997,641077,6049543,12
2,20,270380,70,130,1595100,7322300,10
1,3,132369,21,99,160443,603846,13
2,15,484432,60,217,560917,7094895,12
2,21,690847,21,892,1824753,2005437,13
1,2,143650,20,178,101192,929842,15
2,15,392715,15,742,1215742,726195,10
2,21,540477,63,157,897225,1987555,5
2,24,799608,72,924,1055244,10752552,2
2,12,423876,48,90,541350,804186,2
2,15,367665,15,555,1417417,5871307,7
3,30,381010,60,870,1246230,6989630,4
2,18,325341,27,648,853659,8752311,8
2,17,403486,76,68,483199,5915218,13
3,37,284505,49,111,2261736,7752104,1
3,29,401012,77,193,885737,7196640,1
2,12,416010,18,438,1073826,1797294,1
3,27,364671,81,450,1308321,7051869,10
3,40,498040,53,653,1906626,6059053,15
3,38,438342,12,456,660085,6896772,1
2,22,491766,55,539,598609,10742380,10
3,32,725120,32,394,1289536,3870944,11
3,38,784446,12,1241,2334960,1174364,8
3,30,516330,100,290,500640,5671100,5
2,9,202239,27,301,520335,576499,13
3,39,882401,78,507,2379728,2314624,7
3,36,300012,96,948,1325376,4922700,10
2,24,731328,108,168,962316,8354736,6
2,20,722560,50,910,1226950,796280,13
3,32,771904,106,501,1463520,2085162,13
3,29,484831,38,570,1471421,9229694,13
3,27,488511,27,450,1441953,1725246,10
2,24,294456,72,420,2225988,7369092,9
3,39,721565,78,351,939770,3738631,4
3,36,468084,48,924,1510152,2307684,14
3,36,266664,84,840,718740,621696,12
3,28,676517,74,410,880945,4267097,7
2,19,340879,95,142,1595249,859303,13
2,12,385356,24,276,334128,3457884,11
3,37,306261,74,86,1143818,6600800,8
2,15,415987,22,517,1100790,6040837,14
3,31,536289,82,155,2024000,2781981,7
1,6,398922,48,582,1013064,5004156,10
3,38,602971,114,240,1669669,3841394,12
3,25,189566,75,366,1640716,2146425,1
3,37,808622,61,616,2224131,1358726,10
2,19,404348,19,779,753806,4432358,7
1,5,261515,50,260,535500,2857495,10
1,2,64386,4,62,308520,1564286,5
2,16,585448,56,488,681032,473392,3
2,15,503242,30,232,478132,3751740,8
2,8,172156,32,272,309436,1548588,1
3,34,485724,79,385,1531768,11261706,8
2,23,322943,57,57,690080,1612875,7
1,1,65623,6,55,80964,560978,11
3,31,605161,51,506,1801647,9003764,2
3,29,698648,38,696,660794,4499456,9
2,9,335367,31,103,695587,2088580,8
2,18,290646,54,783,618858,7318062,6
3,40,636173,40,1320,1030480,1221880,9
3,25,504800,25,766,813850,6424958,8
2,8,86608,8,44,353960,864352,9
3,36,565272,120,1188,1166772,7483896,7
1,1,68638,5,17,147581,705423,8
2,15,156967,37,67,689197,7089682,14
3,27,632826,54,180,754983,3201615,5
2,16,295336,80,128,1457952,7360936,6
3,26,464984,86,416,1716372,4083343,13
3,40,721840,120,186,2018600,5991093,2
3,39,595816,65,1118,1343966,8889907,15
2,9,130113,22,423,413473,3358201,14
2,12,266880,12,282,923820,2530092,4
2,21,400218,10,283,682584,2664375,13
1,4,199984,36,304,613248,941452,11
2,19,664268,19,228,1637781,5390442,15
2,13,294450,52,604,1059643,2479938,5
3,38,282530,63,620,2491406,8219336,5
2,8,294580,32,292,238224,2066368,5
1,5,252535,15,70,767455,4769095,15
1,5,129425,10,315,502815,1754625,9
1,6,379206,24,72,704898,5293632,7
3,37,339302,49,641,2202363,3150315,11
3,33,676984,33,176,1296251,10000672,9
2,12,368178,12,240,1148892,5635200,10
3,36,604104,48,72,1451676,8124180,12
3,38,647368,101,1140,1377512,3586402,14
3,38,494063,25,620,1333242,3316044,4
2,13,378820,19,481,473349,3314148,2
2,7,148697,24,248,251846,1898935,11
2,22,569250,88,946,2001824,9949665,4
3,34,350483,79,430,1278298,8833313,1
2,19,539115,66,304,500840,5455099,11
2,23,406421,115,598,1335357,5263941,10
3,28,336924,9,242,1756766,1061974,13
3,40,523773,120,1013,2634773,7370746,5
3,33,502161,11,561,1121175,4120545,6
3,38,595776,76,924,2167482,9655711,14
2,14,354823,14,7,693539,6310661,8
3,28,381705,65,896,698553,6553549,5
2,8,92216,40,220,266208,3011088,15
1,3,61107,12,168,498954,466722,11
2,10,249560,10,20,276380,4950780,13
3,28,516338,18,616,1271078,917924,2
2,18,543060,45,180,569682,6956667,12
1,4,100716,36,180,782740,623436,1
2,16,505600,80,312,964776,5849080,9
2,16,535240,24,480,902480,3952392,10
3,31,564706,93,103,950914,2871375,2
3,34,582510,79,532,603171,1717725,1
2,14,354942,49,392,687029,3302698,3
2,20,364910,90,820,1746490,3950510,15
3,27,292176,45,135,1066338,1360908,9
2,10,340455,45,200,720500,3186390,5
3,37,784819,74,61,1834583,7555202,10
2,12,415722,48,276,397404,3248190,10
2,7,240947,17,213,637812,2123919,7
2,14,438606,28,161,513772,2396716,5
2,13,482859,13,175,1248526,2328553,4
2,7,206132,24,297,452644,1052985,5
1,1,70328,9,4,154678,370888,10
2,18,657936,63,495,976374,3614346,13
3,25,484608,41,391,1077583,6760591,7
3,30,572880,90,650,1379660,4537810,7
3,37,516729,98,135,2046309,2301424,5
2,20,617880,70,750,1244340,4470080,5
3,29,296351,67,232,1805733,4557698,7
2,21,236617,94,189,1230883,8521075,9
2,7,122850,14,91,317313,3346616,11
1,2,129872,2,170,398360,1780392,12
3,33,696652,11,198,1984983,9767065,7
3,38,383394,63,342,1992922,9541217,10
2,8,148580,20,108,551468,3795424,13
3,28,327348,46,569,1704406,6976853,8
1,5,288545,40,105,262795,4605510,14
3,38,890200,126,367,926136,2003018,4
2,15,394440,22,330,715267,6725797,6
2,14,283962,14,112,408674,3074092,13
3,28,424116,56,840,1306834,4307249,4
2,21,618513,73,892,949977,9818602,4
2,20,375800,100,170,1638600,2237900,7
2,13,233688,26,422,404800,3238423,7
2,24,883584,12,876,2343840,1831536,6
3,25,515533,25,433,1593025,2185183,13
2,15,439987,60,690,971550,6976327,6
2,16,506912,80,752,924056,7271456,9
3,30,269130,20,260,1907590,3743330,10
1,5,262445,10,315,490830,3804665,11
1,6,130572,24,444,946614,1325658,2
3,25,167475,50,266,665900,4400691,6
3,38,324621,88,684,759430,5507112,9
3,32,610314,96,10,868832,4282773,13
1,6,212934,30,336,735906,3550098,10
2,10,196145,40,95,482045,2601000,14
2,20,236730,10,590,524690,6648520,10
3,31,704733,41,971,1081683,6319195,3
2,7,245791,31,31,444332,2035393,1
2,18,273411,54,234,1609479,6322815,6
3,37,652507,123,12,2294814,11416991,8
3,38,487362,25,506,1704122,8281466,9
3,40,480266,40,426,1915040,9302813,13
1,2,148930,8,110,281770,921030,9
1,2,108732,18,92,335658,1877446,11
3,31,762775,41,547,1662302,4799151,5
2,9,181579,36,189,649066,1353690,2
1,2,48242,12,84,277900,1250314,12
3,38,564895,76,291,663556,11137597,9
2,18,615069,63,630,746892,7240968,8
2,8,209088,40,168,762540,3297032,13
2,7,149205,7,248,286107,1280447,8
3,26,573187,26,849,546546,6413524,3
2,15,171067,75,675,1476532,3524550,10
3,31,496961,82,62,695671,5119164,9
3,38,735692,50,722,1492424,12103937,13
3,40,980466,93,306,1765853,12397160,11
3,39,302848,78,455,2500524,1236248,5
3,40,713573,40,853,1732480,8378853,9
2,24,811572,12,912,808020,4574292,10
3,40,534520,80,893,768146,1795360,8
2,7,164199,28,112,689594,1623849,14
2,20,478820,50,540,1584040,2200520,14
2,23,485679,80,34,742325,4136297,14
3,27,180036,9,891,1763280,6677082,2
2,24,463404,24,24,2076120,7729608,3
2,7,73164,24,129,340291,2609379,7
3,32,270506,96,832,1459072,688245,1
2,9,229819,4,436,782541,4480524,7
3,27,666603,81,54,1012482,5790573,2
1,6,295368,60,42,653832,3770634,12
2,22,655985,110,935,1352307,3990140,10
3,26,340088,26,788,1005714,8616521,9
3,37,534502,49,925,992019,8394165,13
2,17,506625,34,348,770627,7703822,13
2,8,119000,32,204,419004,1424040,6
3,37,857154,111,296,2453038,7790547,6
3,31,475974,51,268,1677492,9147314,15
2,18,205488,18,117,843984,7232940,5
3,40,480560,106,160,1203373,6099280,14
3,26,283131,69,771,1393929,3456544,14
2,12,124080,18,456,413352,2306508,12
1,6,344220,6,408,320148,4430370,11
3,34,301795,45,362,1216984,10096390,10
3,26,378213,26,294,1241274,2519235,7
2,21,454009,105,252,1205106,688810,2
3,33,329032,33,803,617144,4843069,1
2,20,382290,40,140,1976670,9035230,12
2,18,510012,54,585,1204245,7948062,3
1,3,65118,24,249,273645,1154232,2
1,6,121416,6,474,996354,2385702,14
3,34,279434,90,725,1923300,10483582,1
1,3,167466,24,174,585285,1595247,6
2,20,714160,50,240,1036090,869440,3
3,40,565960,26,360,1937346,1044973,12
1,2,41590,12,186,314130,692770,6
3,34,606333,68,79,1378258,4194466,1
2,16,243456,8,304,1174712,1759336,12
2,22,392898,33,704,1060070,10597521,7
1,6,133080,6,312,685038,3084468,9
1,4,232696,40,124,495584,512620,9
2,23,391977,11,713,2136677,10719541,5
2,13,462572,45,78,534059,2000388,11
3,40,928546,106,1106,2148346,3931253,15
3,38,338098,101,190,752704,1602320,8
2,17,232262,17,688,696719,5654616,13
1,2,72172,8,152,235378,449722,11
2,16,400968,32,320,1406200,4430040,10
1,4,86456,32,224,245120,2260024,2
3,36,489156,12,744,1143816,5206236,9
1,1,32374,6,89,90362,409177,2
2,23,783644,34,1023,810508,7190225,12
3,37,297221,86,863,704110,5016842,11
2,8,245072,4,348,606172,2303020,4
3,27,472446,45,441,1514718,6229620,11
3,37,750865,61,320,2005671,1201118,14
2,12,141246,60,198,452106,4192668,3
2,15,260767,30,217,1053502,5398627,3
3,40,607826,66,986,1045026,6467853,11
2,15,152805,15,682,1220032,2542927,11
2,20,277170,10,250,1766520,2128400,1
1,6,210264,18,582,1057926,629508,9
1,5,146615,50,230,798190,996965,9
3,32,459712,106,832,956256,754197,6
2,11,238260,33,99,928994,4934732,10
2,16,308048,48,120,515664,7626960,2
3,31,251348,51,589,1868111,4686797,15
2,14,417375,42,91,718144,2807826,12
3,28,214806,65,438,1224990,3737318,15
2,18,607113,81,495,1493289,4358601,2
1,1,51302,7,62,158232,57061,14
2,14,501340,7,693,1097866,2776928,11
1,1,40600,2,79,97409,322003,3
2,18,322101,27,729,783189,6664914,14
2,19,700691,85,209,1848225,7811270,10
1,2,46432,6,158,388020,697214,2
2,11,400169,38,302,280021,2469285,14
3,38,755718,25,1089,2091735,10650944,1
3,27,540351,36,81,1089729,5952033,14
2,16,417000,24,568,1244832,6199176,8
2,19,515622,57,218,1321355,7301168,6
1,3,124383,3,54,394302,595242,10
1,5,347125,25,140,666380,3817960,2
3,26,193284,78,780,932308,5327079,4
3,32,547018,74,469,2066581,10417408,11
3,27,292113,45,306,1614996,1766592,14
2,15,384300,37,247,470797,3728047,1
2,24,425868,60,744,1276536,9862608,5
2,20,367070,100,730,862010,2372330,12
2,12,409824,48,162,479442,2030934,10
2,21,299964,31,861,1970010,9733773,15
3,38,488667,126,810,1436362,9601814,12
3,34,443314,11,158,1266783,8507230,12
3,29,239066,48,290,1388491,1414020,10
2,9,160875,40,306,754825,805630,12
3,36,837864,36,948,1656552,8814000,9
3,38,785776,38,1228,1777716,6055008,4
3,32,625365,21,757,899818,1097386,7
1,3,80574,6,234,311217,2920143,11
2,17,420563,76,688,607469,4505042,3
3,40,520213,26,253,786600,12914040,6
3,29,383554,48,87,1658510,9520129,8
1,3,68679,27,207,512754,1786626,13
2,10,120325,35,330,667240,4927165,7
2,10,316990,10,485,471940,778870,14
2,7,160384,21,59,339916,823133,1
1,5,194845,10,120,480340,598810,2
3,31,376939,10,279,2010980,2524040,11
3,39,396669,26,728,1172158,3776383,4
3,29,254668,19,67,1047779,916226,2
3,29,638744,9,647,793962,7987914,13
2,14,412251,35,238,470162,1174964,8
1,5,127255,50,490,700285,4354380,5
2,12,443460,48,600,682428,3641232,8
2,21,685849,42,577,1589059,3438393,13
3,30,667640,90,700,1311460,4658560,13
1,1,62865,8,40,199396,890267,8
1,2,85976,4,172,387470,969770,1
1,5,200955,35,35,425675,1891550,2
3,34,847087,68,578,887343,4011796,13
3,33,652355,44,550,1147993,6175675,3
3,34,311904,56,1020,1116866,2237778,10
3,34,332758,113,1133,2006532,2380838,3
3,27,548892,90,297,874998,6270678,15
1,6,237006,30,462,1167702,2929254,10
2,7,82544,17,42,223226,1849977,6
2,19,647985,19,95,936956,5919336,10
2,16,449144,32,304,1291576,4632072,11
1,5,373190,45,460,967550,2927005,2
2,22,731962,55,275,1546589,2542034,9
1,3,85371,3,144,547242,1516974,9
2,8,213576,40,316,302820,2328340,15
2,19,446186,57,247,1366793,1142565,13
3,38,399291,126,12,795935,11082738,1
3,33,431013,88,462,1242065,4857666,12
2,19,494541,57,627,939341,6170183,11
3,35,575633,11,350,1048273,6236171,1
3,35,595233,81,525,2277461,4425901,1
2,13,468435,6,507,644267,1332331,2
3,40,361586,133,693,1083373,2047520,3
2,19,577619,85,437,1515155,619761,1
1,3,78672,9,99,223146,2891595,15
2,17,216597,25,212,1319157,1725049,5
3,26,193318,86,8,1642394,597566,7
2,10,331175,25,475,454910,4280945,11
2,20,630120,80,730,1779340,1353560,6
1,3,64731,18,285,421926,2681352,15
3,36,629112,60,132,1320060,1064448,6
1,6,132738,6,126,1171368,795072,3
1,2,44862,14,120,168294,1624334,5
3,33,363022,110,572,1051347,3937648,1
2,15,367740,60,330,1311495,2056440,9
2,16,279808,64,80,662400,5214320,7
1,3,150555,12,24,225345,2047281,2
1,3,94035,6,105,509955,1907214,9
3,37,387205,123,555,1838493,5085884,2
3,33,441045,33,495,1622863,7134512,13
2,23,561372,92,1150,1863345,10135916,14
1,5,127845,20,350,548040,4489535,12
2,16,383536,24,480,1068624,3128208,4
3,28,528742,74,653,1253569,9035329,5
3,32,253280,21,138,695733,6226826,14
1,6,309528,60,444,519588,1742028,1
2,14,200249,14,532,1338092,1934877,13
3,25,463258,75,600,1497891,783341,5
3,32,516405,10,874,671861,7617770,5
2,15,488752,22,532,1047300,658027,4
1,6,156906,54,216,597420,2156388,4
2,14,221396,35,378,678314,4924360,3
2,11,141784,11,473,966454,4386585,9
2,11,339922,38,522,275665,2550526,13
2,19,582198,66,427,1637087,9399908,3
2,17,575144,68,289,628558,8313884,6
1,1,69593,5,2,186002,289575,14
3,26,459827,17,225,965475,7840334,3
3,37,290598,74,135,2454950,6373089,7
3,34,660778,11,68,2186279,8305610,14
2,16,422840,56,128,531048,5032064,11
3,32,780864,96,1013,1318421,4464672,5
2,18,229590,45,9,745263,2683395,2
3,37,903971,49,505,2373648,3879721,9
2,9,177525,22,31,713052,1223410,10
1,4,179076,32,16,330620,975772,6
2,13,344864,39,156,951457,3382307,10
1,2,81634,20,24,208868,276274,14
2,8,291692,12,96,299172,2944768,11
2,17,367863,25,399,1016090,1140368,3
3,33,585464,110,11,789184,9425691,9
1,1,61829,9,63,158954,604209,14
3,36,405732,36,912,2242140,3273456,11
1,3,151722,27,285,270978,712725,1
3,36,709212,84,1200,1386924,2591304,10
3,38,836582,76,367,939258,9769926,9
2,12,206820,6,378,953616,4603962,15
2,24,617388,72,732,907284,10526304,6
2,15,259575,52,30,1352902,1928025,5
2,21,752566,84,336,1179139,7338481,13
2,20,556880,80,610,1273930,9403340,13
2,7,175346,35,168,339773,805658,14
2,15,493710,45,510,1228155,6260520,13
3,36,846264,36,468,1794144,1294140,7
2,15,216367,75,442,784035,543180,15
3,35,790953,35,478,1178636,1764361,12
2,19,224314,85,646,1220655,2048656,10
3,29,248491,9,541,575282,3444156,11
3,35,661943,116,513,792341,1982435,1
3,29,660223,38,551,922074,2198577,1
2,22,434775,55,517,1731862,6773206,10
3,25,349266,8,416,548408,3561525,1
1,3,119298,12,273,228612,1866546,12
2,13,130637,65,611,785609,4751454,15
2,20,671430,30,30,562280,9258450,7
2,14,499163,28,280,1362739,6984572,4
2,23,442405,103,379,812371,3759419,8
3,39,488332,130,598,915343,6312371,5
2,22,556600,88,143,977020,4327191,2
1,5,281385,20,225,473515,3028820,1
2,11,340021,11,280,607018,4928231,5
1,1,44318,2,84,115901,222195,1
2,9,272029,18,436,677007,3633331,12
3,40,868706,106,1226,2005933,12840866,2
3,26,565456,26,684,1124656,2967622,11
3,36,705384,108,924,1854156,778908,10
3,27,351153,18,279,568836,1417698,11
2,15,314062,30,352,584490,7133902,13
3,27,235881,90,243,1398114,6465348,15
2,23,505137,11,770,2138321,6431099,12
3,33,598719,66,1089,782155,3361501,2
2,16,544824,24,320,797208,3206224,9
3,40,761880,66,1133,884493,11207160,1
1,4,224780,36,188,238964,1744648,7
2,23,744314,34,115,1579214,3946455,7
3,32,613642,32,981,2127413,8710208,14
1,3,136422,15,180,582438,1732920,4
2,19,472368,28,560,641449,3846464,2
3,27,238410,90,288,792189,2645181,9
3,26,453353,8,381,483071,4695981,10
2,9,226624,4,18,698832,3608451,5
1,4,93592,12,144,243660,3237996,6
3,34,486642,90,872,635766,752952,12
1,6,193908,12,180,483210,4362306,1
3,27,389493,72,855,1663749,1174122,2
2,24,408900,12,756,2105412,4395504,15
3,34,228604,90,249,1879146,1625358,15
3,33,483659,33,341,1234310,10633854,4
2,8,150452,32,144,404708,1951348,3
2,21,598594,73,483,1541904,870565,8
2,15,546885,15,322,526635,4831830,1
2,16,532232,40,480,440048,3515904,2
2,12,308352,54,204,440088,4000578,5
2,19,349685,66,769,739432,9114661,15
1,3,124077,3,21,301065,2470014,2
3,39,470717,26,130,2184416,2945072,11
2,11,192692,11,434,697609,5457622,12
2,13,400751,52,539,574931,2399033,4
2,19,429960,76,389,1688425,2960637,15
3,25,318025,83,425,844400,6206058,9
2,21,356884,94,871,1420093,8582658,15
2,20,261280,100,780,1487350,5915830,1
1,6,236316,60,342,372180,5749704,5
2,7,148557,28,168,596631,1906040,10
2,24,659376,24,984,835200,5869104,8
2,20,458600,100,330,822450,5256150,7
3,30,399800,90,30,1045150,4227890,10
1,3,192498,30,39,380088,1342866,3
2,19,620986,57,712,1833528,1413410,12
2,7,132090,24,255,595028,1478806,12
1,1,27857,5,32,91365,639710,3
2,14,480753,21,476,590492,824313,8
2,17,530111,17,144,1180794,5111577,6
2,8,202400,4,252,562936,407920,13
2,23,505839,92,736,784265,7383080,15
1,3,199167,12,210,150036,313377,6
3,25,444500,50,133,656383,744116,3
1,6,186240,30,552,794394,2414784,7
3,33,467478,66,1034,1920050,2877842,11
2,24,755184,72,96,1785744,892116,13
2,20,716600,70,760,933950,3386470,2
2,11,267091,44,154,307906,4511122,4
1,6,260190,54,390,799692,2131632,1
2,18,508914,72,315,612990,2968209,6
2,9,161500,4,4,617130,1228882,3
3,30,569410,80,340,1738830,1800070,15
3,36,707208,24,672,1291716,8238360,2
2,24,603900,72,456,2352264,8450172,1
2,17,313471,76,697,630870,3136636,14
3,31,453044,10,919,1917339,10067363,1
2,22,481646,11,539,1250744,8942604,6
1,4,252800,24,364,313656,3805752,4
2,23,282647,34,402,1325513,3138223,3
3,32,349408,74,800,1734144,10286805,1
1,6,157710,42,96,672858,4635516,14
1,3,87924,18,162,537444,1281720,15
2,18,419841,63,720,1679625,2429388,14
2,19,611952,95,674,1651071,4499656,15
3,28,664729,65,597,514593,7035504,8
1,6,199266,18,582,675126,1650474,2
3,25,359716,16,8,566116,1905458,2
3,35,376261,81,338,2015066,7126163,7
2,19,248444,47,741,1762611,7115386,13
2,15,439995,7,202,560385,7311645,13
2,8,175688,24,52,713024,1383848,9
1,3,69174,9,228,468114,609231,11
1,6,272142,12,348,1124406,3666012,5
2,16,311568,24,264,442976,2980920,13
3,33,551166,88,473,2041072,9688228,12
3,34,525538,68,589,654330,5227488,6
2,19,662473,66,636,683990,8416515,9
3,34,591985,102,419,1088861,1216497,12
2,7,251741,24,227,297930,3307482,5
2,7,167163,17,315,657552,1376091,14
